Title,URL,Published,Content
業界トレンド／展望：CX変革を実現する『カスタマージャーニーマネジメント』,http://www3.keizaireport.com/report.php/RID/591317/?rss,2024-08-17,['http://www3.keizaireport.com/jump.php?RID=591317&key=888873410721']
デジタルガバナンス・コード3.0～DX経営による企業価値向上に向けて～（案）,http://www3.keizaireport.com/report.php/RID/591341/?rss,2024-08-17,['http://www3.keizaireport.com/jump.php?RID=591341&key=888873410721']
中小企業におけるBCPの策定とサイバーリスクへの対応（大阪府内）～BCP策定が11.6％、前回調査から1.9ポイント低下。サイバー攻撃により50.5％の企業に不利益,http://www3.keizaireport.com/report.php/RID/591380/?rss,2024-08-17,['http://www3.keizaireport.com/jump.php?RID=591380&key=888873410721']
オルタナティブデータFACTBOOK（英語版）,http://www3.keizaireport.com/report.php/RID/591383/?rss,2024-08-17,['http://www3.keizaireport.com/jump.php?RID=591383&key=888873410721']
サードパーティセキュリティの展望：2030年 ～サイバー攻撃の動向も考慮したサードパーティリスク管理のアプローチを考察...,http://www3.keizaireport.com/report.php/RID/591214/?rss,2024-08-16,['http://www3.keizaireport.com/jump.php?RID=591214&key=888873410721']
AI組織の責任：コアセキュリティの責任,http://www3.keizaireport.com/report.php/RID/591191/?rss,2024-08-15,['http://www3.keizaireport.com/jump.php?RID=591191&key=888873410721']
業界トレンド／展望：生成AIでビジネスをリードする～エンタープライズ向け最新事例,http://www3.keizaireport.com/report.php/RID/590819/?rss,2024-08-10,['http://www3.keizaireport.com/jump.php?RID=590819&key=888873410721']
IT関連政策から読み解く日本のDX：期限迫る「2025年の崖」をどう乗り越えるか～地方公共団体情報システムの統一・標準化から見るDXの進め方：日本,http://www3.keizaireport.com/report.php/RID/590898/?rss,2024-08-10,['http://www3.keizaireport.com/jump.php?RID=590898&key=888873410721']
トレンドレーダー：端末内のAIがもたらす新たなイノベーション,http://www3.keizaireport.com/report.php/RID/590671/?rss,2024-08-09,['http://www3.keizaireport.com/jump.php?RID=590671&key=888873410721']
データマネタイゼーションへの挑戦（前編）自社が保有するデータや知見、技術の強みを生かし、新たなビジネスを創出する 住友化学株式会社,http://www3.keizaireport.com/report.php/RID/590483/?rss,2024-08-08,['http://www3.keizaireport.com/jump.php?RID=590483&key=888873410721']
AIリスクをめぐる規制動向解説、日本企業はどのようにAIリスクと向きあうべきか,http://www3.keizaireport.com/report.php/RID/590485/?rss,2024-08-08,['http://www3.keizaireport.com/jump.php?RID=590485&key=888873410721']
プライバシーテックの活用と今後の展望（SAP／GRCS）,http://www3.keizaireport.com/report.php/RID/590488/?rss,2024-08-08,['http://www3.keizaireport.com/jump.php?RID=590488&key=888873410721']
生成AI時代のデジタルガバナンス 第三者認証による信頼性の確立,http://www3.keizaireport.com/report.php/RID/590606/?rss,2024-08-08,['http://www3.keizaireport.com/jump.php?RID=590606&key=888873410721']
AIが変える未来のワークショップ～人工知能との協働がもたらす組織変革と意思決定の革新的アプローチ：Watching,http://www3.keizaireport.com/report.php/RID/590325/?rss,2024-08-07,['http://www3.keizaireport.com/jump.php?RID=590325&key=888873410721']
生成AI時代の企業変革のカギ～スケール戦略と実現に向けたガバナンス・基盤：NRI Digital Consulting Edge,http://www3.keizaireport.com/report.php/RID/590353/?rss,2024-08-07,['http://www3.keizaireport.com/jump.php?RID=590353&key=888873410721']
第4回 企業価値向上に向けたデジタル・ガバナンス検討会【開催資料】,http://www3.keizaireport.com/report.php/RID/590419/?rss,2024-08-07,['http://www3.keizaireport.com/jump.php?RID=590419&key=888873410721']
Thought Leaderに訊く：金融業界の横のつながりで生成AIの活用を促進　語り手 一般社団法人金融データ活用推進協会 代表理事 NPO法人金融IT協会 副理事長 兼 事務局長 岡田拓郎氏,http://www3.keizaireport.com/report.php/RID/590164/?rss,2024-08-06,['http://www3.keizaireport.com/jump.php?RID=590164&key=888873410721']
金融機関における生成AIの実務ハンドブック（第1.0版）,http://www3.keizaireport.com/report.php/RID/590165/?rss,2024-08-06,['http://www3.keizaireport.com/jump.php?RID=590165&key=888873410721']
DXビジョン・ロードマップ策定の要諦：デジタルトランスフォーメーションが導く、産業と金融の融合,http://www3.keizaireport.com/report.php/RID/590177/?rss,2024-08-06,['http://www3.keizaireport.com/jump.php?RID=590177&key=888873410721']
金融業界の先進事例から紐解く業務への生成AI活用の要諦：デジタルトランスフォーメーションが導く、産業と金融の融合,http://www3.keizaireport.com/report.php/RID/590178/?rss,2024-08-06,['http://www3.keizaireport.com/jump.php?RID=590178&key=888873410721']
【注目検索キーワード】カーボン・クレジット,http://search.keizaireport.com/search.php/-/keyword=カーボン・クレジット/?rss,2024-08-06,[]
