No,Title,Link,Description
1,製造DXレポート 第1回 日本のスマートファクトリー現状調査 ～始動10年を目前に見えてきた課題～,http://www3.keizaireport.com/report.php/RID/591720/?rss,発表元:アビームコンサルティング、掲載日:2024-08-22
2,AIと著作権に関するチェックリスト＆ガイダンス,http://www3.keizaireport.com/report.php/RID/591748/?rss,発表元:文化庁、掲載日:2024-08-22
3,DXの視点『御礼メールAIがもたらすビジネス変革』,http://www3.keizaireport.com/report.php/RID/591546/?rss,発表元:第一生命経済研究所、掲載日:2024-08-21
4,生成AIの経理財務業務での活用（１） 生成AIの特徴と今取り組むべきこと：データドリブン経営,http://www3.keizaireport.com/report.php/RID/591616/?rss,発表元:PwC Japan、掲載日:2024-08-21
5,業界トレンド／展望：CX変革を実現する『カスタマージャーニーマネジメント』,http://www3.keizaireport.com/report.php/RID/591317/?rss,発表元:NTTデータ、掲載日:2024-08-17
6,デジタルガバナンス・コード3.0～DX経営による企業価値向上に向けて～（案）,http://www3.keizaireport.com/report.php/RID/591341/?rss,発表元:情報処理推進機構、掲載日:2024-08-17
7,中小企業におけるBCPの策定とサイバーリスクへの対応（大阪府内）～BCP策定が11.6％、前回調査から1.9ポイント低下。サイバー攻撃により50.5％の企業に不利益,http://www3.keizaireport.com/report.php/RID/591380/?rss,発表元:大阪シティ総合研究所、掲載日:2024-08-17
8,オルタナティブデータFACTBOOK（英語版）,http://www3.keizaireport.com/report.php/RID/591383/?rss,発表元:オルタナティブデータ推進協議会、掲載日:2024-08-17
9,サードパーティセキュリティの展望：2030年 ～サイバー攻撃の動向も考慮したサードパーティリスク管理のアプローチを考察...,http://www3.keizaireport.com/report.php/RID/591214/?rss,発表元:KPMG、掲載日:2024-08-16
10,AI組織の責任：コアセキュリティの責任,http://www3.keizaireport.com/report.php/RID/591191/?rss,発表元:日本クラウドセキュリティアライアンス、掲載日:2024-08-15
11,業界トレンド／展望：生成AIでビジネスをリードする～エンタープライズ向け最新事例,http://www3.keizaireport.com/report.php/RID/590819/?rss,発表元:NTTデータ、掲載日:2024-08-10
12,IT関連政策から読み解く日本のDX：期限迫る「2025年の崖」をどう乗り越えるか～地方公共団体情報システムの統一・標準化から見るDXの進め方：日本,http://www3.keizaireport.com/report.php/RID/590898/?rss,発表元:大和総研、掲載日:2024-08-10
13,トレンドレーダー：端末内のAIがもたらす新たなイノベーション,http://www3.keizaireport.com/report.php/RID/590671/?rss,発表元:KPMG、掲載日:2024-08-09
14,データマネタイゼーションへの挑戦（前編）自社が保有するデータや知見、技術の強みを生かし、新たなビジネスを創出する 住友化学株式会社,http://www3.keizaireport.com/report.php/RID/590483/?rss,発表元:PwC Japan、掲載日:2024-08-08
15,AIリスクをめぐる規制動向解説、日本企業はどのようにAIリスクと向きあうべきか,http://www3.keizaireport.com/report.php/RID/590485/?rss,発表元:PwC Japan、掲載日:2024-08-08
16,プライバシーテックの活用と今後の展望（SAP／GRCS）,http://www3.keizaireport.com/report.php/RID/590488/?rss,発表元:PwC Japan、掲載日:2024-08-08
17,生成AI時代のデジタルガバナンス 第三者認証による信頼性の確立,http://www3.keizaireport.com/report.php/RID/590606/?rss,発表元:EY Japan、掲載日:2024-08-08
18,AIが変える未来のワークショップ～人工知能との協働がもたらす組織変革と意思決定の革新的アプローチ：Watching,http://www3.keizaireport.com/report.php/RID/590325/?rss,発表元:第一生命経済研究所、掲載日:2024-08-07
19,生成AI時代の企業変革のカギ～スケール戦略と実現に向けたガバナンス・基盤：NRI Digital Consulting Edge,http://www3.keizaireport.com/report.php/RID/590353/?rss,発表元:野村総合研究所、掲載日:2024-08-07
20,第4回 企業価値向上に向けたデジタル・ガバナンス検討会【開催資料】,http://www3.keizaireport.com/report.php/RID/590419/?rss,発表元:経済産業省、掲載日:2024-08-07
21,【注目検索キーワード】カーボン・クレジット,http://search.keizaireport.com/search.php/-/keyword=カーボン・クレジット/?rss,カーボン・クレジット
